id,tag,donor,distSpatial,donors,distSpatials
cat-10319,camels,cat-10215,128,"cat-10215,cat-14748","128,381"
cat-10458,camels,cat-10215,261,"cat-10215,cat-14748","261,502"
cat-10837,camels,cat-10215,137,"cat-10215,cat-14749,cat-14748","137,376,378"
cat-11028,camels,cat-10215,144,"cat-10215,cat-14748","144,384"
cat-11030,camels,cat-10215,148,"cat-10215,cat-14749,cat-14748","148,386,388"
cat-11036,camels,cat-10215,150,"cat-10215,cat-14749,cat-14748","150,389,391"
cat-11037,camels,cat-10215,153,"cat-10215,cat-14748","153,393"
cat-11041,camels,cat-10215,154,"cat-10215,cat-14748","154,396"
cat-11145,camels,cat-14398,414,"cat-14398,cat-12791,cat-12792","414,416,418"
cat-11574,camels,cat-10215,253,"cat-10215,cat-14749,cat-14748","253,482,484"
cat-12018,camels,cat-10215,177,"cat-10215,cat-14749,cat-14748","177,422,424"
cat-12020,camels,cat-10215,179,"cat-10215,cat-14748","179,423"
cat-12036,camels,cat-10215,265,"cat-10215,cat-14748","265,504"
cat-12037,camels,cat-10215,266,"cat-10215,cat-14749,cat-14748","266,505,507"
cat-12043,camels,cat-10215,260,cat-10215,260
cat-12057,camels,cat-10215,258,"cat-10215,cat-14749,cat-14748","258,488,490"
cat-12058,camels,cat-10215,256,"cat-10215,cat-14749,cat-14748","256,485,487"
cat-12096,camels,cat-10215,180,"cat-10215,cat-14748","180,416"
cat-12099,camels,cat-14398,411,"cat-14398,cat-12791,cat-12792","411,413,415"
cat-12109,camels,cat-10215,147,"cat-10215,cat-14749,cat-14748","147,388,390"
cat-12111,camels,cat-10215,143,"cat-10215,cat-14748","143,385"
cat-12113,camels,cat-10215,137,"cat-10215,cat-14748","137,379"
cat-12114,camels,cat-10215,143,"cat-10215,cat-14748","143,383"
cat-12119,camels,cat-10215,154,"cat-10215,cat-14749,cat-14748","154,391,393"
cat-12120,camels,cat-10215,157,"cat-10215,cat-14749,cat-14748","157,392,394"
cat-12121,camels,cat-10215,150,"cat-10215,cat-14748","150,388"
cat-12145,camels,cat-10215,274,"cat-10215,cat-14749,cat-14748","274,515,517"
cat-12169,camels,cat-10215,135,"cat-10215,cat-14749,cat-14748","135,377,379"
cat-13301,camels,cat-10215,143,"cat-10215,cat-14398,cat-14748","143,375,377"
cat-14136,camels,cat-14398,664,"cat-14398,cat-12791,cat-12792","664,666,667"
cat-14146,camels,cat-10215,419,"cat-10215,cat-14749,cat-14748","419,673,675"
cat-14239,camels,cat-10215,377,"cat-10215,cat-14748","377,635"
cat-14256,camels,cat-10215,357,"cat-10215,cat-14748","357,617"
cat-14257,camels,cat-10215,360,"cat-10215,cat-14748","360,620"
cat-14371,camels,cat-10215,315,"cat-10215,cat-14749,cat-14748","315,571,573"
cat-14417,camels,cat-10215,299,"cat-10215,cat-14748","299,555"
cat-14430,camels,cat-14398,509,"cat-14398,cat-12791,cat-12792","509,511,512"
cat-14432,camels,cat-14398,511,"cat-14398,cat-12791,cat-12792","511,513,514"
cat-14433,camels,cat-14398,508,"cat-14398,cat-12791,cat-12792","508,510,512"
cat-14435,camels,cat-14398,505,"cat-14398,cat-12791,cat-12792","505,507,508"
cat-14559,camels,cat-14398,550,"cat-14398,cat-12791,cat-12792","550,552,553"
cat-14562,camels,cat-14398,552,"cat-14398,cat-12791,cat-12792","552,554,556"
cat-14566,camels,cat-14398,441,"cat-14398,cat-12791,cat-12792","441,443,444"
cat-14746,camels,cat-14398,531,"cat-14398,cat-12791,cat-12792","531,533,534"
cat-14754,camels,cat-10215,283,"cat-10215,cat-14749,cat-14748","283,539,540"
cat-14755,camels,cat-10215,285,"cat-10215,cat-14749,cat-14748","285,539,540"
cat-14760,camels,cat-10215,282,"cat-10215,cat-14749,cat-14748","282,536,537"
cat-14779,camels,cat-10215,293,"cat-10215,cat-14749,cat-14748","293,546,548"
cat-14781,camels,cat-14398,545,"cat-14398,cat-12791,cat-12792","545,547,549"
cat-14803,camels,cat-10215,300,"cat-10215,cat-14749,cat-14748","300,554,556"
cat-14808,camels,cat-10215,305,"cat-10215,cat-14749,cat-14748","305,560,561"
cat-14928,camels,cat-14398,593,"cat-14398,cat-12791,cat-12792","593,595,596"
cat-14938,camels,cat-10215,333,"cat-10215,cat-14749,cat-14748","333,588,589"
cat-14978,camels,cat-10215,320,"cat-10215,cat-14749,cat-14748","320,576,577"
