,reg_algorithm,reg_scenario,prcFlatLowland,prcFlatUpland,prcFlatTotal,relief,cidx,aridity,sand_frac,clay_frac,soil_depth,forest_frac,cropland_frac,urban_frac,slope,elev_mean,p_mean,pet_mean,snow_frac,high_prec_freq,low_prec_freq,high_prec_dur,low_prec_dur,gvf_max,gvf_diff,lai_max,lai_diff,geo_porosity,geo_permeability,soil_porosity,soil_conductivity
count,urf,hlr,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14266.0,14266.0,14436.0,14632.0,14632.0,14632.0,,,,,,,,,,,,,,,,,
mean,urf,hlr,8.524740295243303,2.659718425369054,7.526927282668125,113.90851216511756,0.10875888463641335,0.09973619464188081,0.10931936071779057,0.02714706294686668,0.16011221945137158,0.15822512301804265,0.043764352104975396,0.07582968835429196,,,,,,,,,,,,,,,,,
std,urf,hlr,10.78668038784074,4.863320428280334,9.963440073964717,117.85074439635407,0.08491773604465026,0.08983828061590897,0.09986513548352768,0.03142674116772588,0.21914387980441485,0.15014535286468922,0.07177788488666804,0.13888833066437134,,,,,,,,,,,,,,,,,
min,urf,hlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
25%,urf,hlr,2.0,0.0,1.0,35.45,0.04,0.03,0.03,0.01,0.0,0.05,0.0,0.01,,,,,,,,,,,,,,,,,
50%,urf,hlr,5.0,1.0,4.0,76.68,0.09,0.07,0.08,0.02,0.04,0.11,0.02,0.03,,,,,,,,,,,,,,,,,
75%,urf,hlr,11.0,3.0,9.0,146.5125,0.16,0.14,0.17,0.03,0.26,0.21,0.05,0.06,,,,,,,,,,,,,,,,,
max,urf,hlr,97.0,80.0,95.0,1102.91,0.57,0.63,0.56,0.24,1.48,0.8,0.95,0.93,,,,,,,,,,,,,,,,,
count,urf,camels,,,,,,14632.0,14266.0,14266.0,14436.0,14632.0,,,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14623.0,14623.0,14301.0,14301.0
mean,urf,camels,,,,,,0.08167509568069983,0.09998247581662693,0.02563928220944904,0.18609032973122747,0.17712411153635868,,,0.04784581738655004,128.40522143247674,75.72476694915254,67.2786256150902,0.027366047020229635,1.2735572717331878,4.773721295790049,0.024553717878622202,0.13607640787315475,0.0711420174958994,0.0853082285401859,0.6502057135046474,0.6503635866593767,0.05705395609656023,0.6788217192094645,0.021190825816376477,0.7817159639186071
std,urf,camels,,,,,,0.06451463523136984,0.09145898301648496,0.02667010985427252,0.23598185516862918,0.16427100244860177,,,0.03722381967615857,107.95763760359486,62.35154987345752,54.197836385016075,0.02403618500528613,0.9181648655072521,3.982857064741042,0.02026258788736859,0.09862240459167643,0.1310459640428925,0.11962641191906526,0.7852992161693281,0.6819954712626055,0.059141653873211,0.7284045798829044,0.03303951886359061,0.9614662204280275
min,urf,camels,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
